,net
690,"(2, 3, 2, 2, 3, 3)"
692,"(3, 0, 0, 0, 3, 4)"
694,"(2, 0, 4, 3, 3, 0)"
695,"(4, 1, 2, 2, 4, 2)"
696,"(4, 3, 0, 0, 3, 2)"
697,"(3, 1, 0, 2, 2, 4)"
702,"(3, 0, 4, 2, 0, 0)"
704,"(4, 0, 4, 3, 0, 3)"
706,"(2, 0, 2, 4, 1, 0)"
712,"(3, 2, 3, 3, 0, 4)"
713,"(4, 0, 0, 2, 0, 3)"
715,"(4, 3, 0, 3, 3, 3)"
716,"(4, 4, 3, 0, 2, 4)"
719,"(3, 3, 2, 0, 2, 2)"
723,"(4, 3, 3, 4, 2, 3)"
724,"(4, 0, 3, 2, 4, 0)"
725,"(2, 4, 1, 2, 2, 3)"
726,"(0, 3, 2, 0, 2, 2)"
727,"(3, 3, 3, 2, 0, 4)"
729,"(2, 4, 0, 1, 2, 3)"
730,"(4, 0, 3, 2, 3, 4)"
734,"(2, 0, 0, 1, 0, 4)"
736,"(3, 4, 4, 0, 3, 3)"
737,"(3, 1, 2, 4, 1, 4)"
738,"(2, 2, 2, 4, 2, 0)"
740,"(2, 4, 2, 2, 0, 0)"
743,"(4, 0, 2, 1, 4, 4)"
748,"(2, 4, 2, 0, 1, 2)"
752,"(0, 3, 2, 3, 2, 3)"
756,"(2, 4, 0, 4, 2, 4)"
762,"(4, 3, 2, 1, 4, 2)"
763,"(2, 2, 1, 2, 2, 2)"
766,"(4, 2, 4, 4, 2, 2)"
767,"(2, 4, 3, 0, 2, 2)"
770,"(2, 3, 1, 4, 1, 2)"
772,"(3, 2, 4, 3, 0, 0)"
774,"(0, 3, 0, 4, 0, 3)"
775,"(0, 4, 0, 1, 4, 4)"
776,"(2, 3, 0, 2, 4, 3)"
778,"(3, 4, 0, 2, 3, 4)"
779,"(4, 3, 1, 4, 3, 3)"
780,"(4, 4, 4, 1, 2, 4)"
782,"(2, 4, 2, 3, 1, 3)"
790,"(2, 0, 3, 3, 0, 0)"
791,"(0, 3, 3, 4, 3, 4)"
794,"(4, 4, 1, 0, 3, 2)"
795,"(4, 0, 4, 3, 3, 4)"
796,"(4, 0, 2, 3, 1, 3)"
799,"(2, 0, 0, 4, 2, 0)"
806,"(4, 1, 2, 1, 4, 1)"
815,"(2, 0, 4, 1, 2, 2)"
816,"(4, 2, 4, 3, 4, 0)"
819,"(3, 4, 2, 1, 0, 2)"
824,"(4, 3, 4, 0, 3, 3)"
826,"(2, 0, 3, 4, 1, 3)"
827,"(3, 4, 2, 0, 4, 3)"
828,"(4, 1, 4, 2, 4, 0)"
830,"(2, 4, 0, 2, 1, 0)"
835,"(3, 4, 1, 3, 3, 4)"
836,"(2, 3, 0, 1, 2, 3)"
837,"(2, 1, 2, 1, 4, 1)"
839,"(0, 0, 3, 0, 3, 4)"
842,"(2, 0, 3, 0, 3, 0)"
846,"(1, 2, 4, 1, 1, 4)"
847,"(4, 1, 1, 2, 4, 4)"
852,"(3, 0, 2, 1, 3, 3)"
853,"(3, 0, 0, 2, 4, 2)"
857,"(3, 2, 2, 0, 4, 2)"
859,"(2, 0, 0, 3, 0, 0)"
863,"(4, 0, 3, 4, 4, 0)"
865,"(2, 4, 0, 3, 2, 3)"
871,"(4, 2, 2, 4, 3, 0)"
874,"(4, 0, 0, 0, 2, 0)"
876,"(4, 3, 1, 3, 2, 2)"
878,"(3, 4, 3, 1, 3, 3)"
879,"(4, 4, 0, 3, 4, 0)"
880,"(3, 0, 2, 4, 3, 4)"
882,"(0, 4, 3, 4, 3, 2)"
886,"(2, 3, 3, 0, 4, 4)"
889,"(4, 1, 1, 4, 1, 3)"
897,"(4, 3, 0, 4, 0, 3)"
900,"(4, 3, 2, 0, 4, 3)"
901,"(3, 4, 0, 4, 3, 4)"
902,"(3, 3, 1, 0, 3, 3)"
909,"(4, 1, 3, 3, 4, 4)"
910,"(4, 0, 3, 3, 1, 0)"
912,"(4, 1, 1, 0, 3, 0)"
913,"(3, 1, 2, 3, 3, 4)"
915,"(0, 1, 2, 3, 2, 4)"
917,"(4, 2, 4, 1, 0, 4)"
918,"(1, 0, 0, 1, 1, 4)"
921,"(2, 1, 1, 2, 0, 3)"
924,"(4, 0, 2, 2, 2, 0)"
927,"(0, 4, 4, 4, 0, 2)"
930,"(3, 4, 1, 2, 2, 3)"
934,"(3, 0, 1, 2, 0, 4)"
938,"(4, 3, 1, 2, 0, 2)"
941,"(2, 3, 0, 0, 2, 2)"
946,"(2, 2, 0, 2, 2, 3)"
955,"(0, 0, 4, 0, 0, 2)"
957,"(4, 3, 4, 2, 3, 3)"
959,"(4, 2, 0, 4, 4, 0)"
961,"(4, 3, 3, 3, 2, 4)"
962,"(3, 4, 0, 3, 0, 4)"
969,"(4, 4, 3, 4, 2, 0)"
971,"(4, 2, 3, 3, 4, 2)"
976,"(2, 2, 4, 3, 4, 2)"
977,"(3, 0, 2, 3, 2, 3)"
978,"(3, 1, 0, 0, 4, 3)"
983,"(3, 4, 3, 0, 3, 2)"
985,"(4, 1, 1, 4, 4, 4)"
989,"(0, 1, 4, 1, 3, 1)"
995,"(3, 4, 4, 4, 2, 3)"
996,"(4, 2, 3, 2, 0, 4)"
1004,"(4, 0, 1, 3, 2, 0)"
1006,"(3, 2, 2, 4, 0, 4)"
1007,"(2, 1, 4, 2, 3, 4)"
1008,"(0, 0, 0, 3, 0, 0)"
1009,"(3, 0, 0, 3, 1, 0)"
1010,"(4, 1, 2, 2, 3, 3)"
1011,"(3, 2, 4, 0, 4, 4)"
1012,"(3, 4, 3, 3, 3, 3)"
1013,"(3, 4, 1, 4, 4, 2)"
1017,"(3, 4, 4, 1, 3, 4)"
1018,"(4, 3, 0, 3, 0, 2)"
1021,"(4, 1, 4, 3, 1, 0)"
1026,"(2, 0, 4, 2, 1, 4)"
1027,"(4, 1, 3, 2, 4, 3)"
1030,"(3, 0, 4, 1, 3, 2)"
1032,"(1, 2, 3, 1, 1, 3)"
1033,"(3, 4, 1, 3, 1, 0)"
1037,"(4, 4, 3, 3, 0, 0)"
1038,"(3, 3, 1, 2, 2, 3)"
1039,"(3, 0, 3, 4, 2, 3)"
1045,"(2, 2, 3, 2, 1, 4)"
1048,"(4, 1, 1, 2, 2, 0)"
1049,"(2, 2, 3, 1, 2, 0)"
1052,"(3, 1, 3, 0, 2, 2)"
1054,"(0, 4, 3, 1, 4, 2)"
1056,"(3, 0, 4, 4, 3, 3)"
1057,"(3, 2, 4, 2, 1, 3)"
1058,"(4, 1, 2, 4, 0, 2)"
1063,"(2, 2, 0, 1, 2, 2)"
1064,"(4, 3, 1, 4, 4, 0)"
1070,"(2, 0, 1, 4, 2, 3)"
1071,"(2, 1, 0, 3, 0, 3)"
1073,"(1, 0, 3, 1, 1, 2)"
1074,"(4, 4, 1, 1, 3, 3)"
1075,"(3, 1, 2, 1, 4, 1)"
1078,"(4, 3, 3, 2, 2, 3)"
1079,"(4, 2, 1, 2, 1, 0)"
1080,"(3, 4, 0, 2, 0, 3)"
1081,"(4, 3, 1, 4, 0, 2)"
1083,"(4, 4, 3, 4, 1, 3)"
1085,"(2, 1, 1, 0, 1, 0)"
1088,"(2, 1, 3, 3, 4, 0)"
1090,"(3, 0, 2, 4, 1, 0)"
1091,"(3, 1, 3, 3, 2, 3)"
1094,"(2, 1, 3, 3, 3, 4)"
1095,"(3, 2, 3, 1, 4, 4)"
1096,"(4, 1, 1, 3, 3, 3)"
1099,"(4, 3, 4, 2, 0, 0)"
1100,"(4, 0, 4, 2, 4, 0)"
1101,"(2, 2, 0, 4, 2, 3)"
1102,"(2, 0, 1, 0, 4, 0)"
1112,"(3, 2, 0, 4, 1, 4)"
1114,"(2, 4, 4, 0, 2, 3)"
1122,"(2, 0, 3, 2, 3, 2)"
1123,"(2, 4, 3, 3, 1, 4)"
1125,"(3, 2, 2, 3, 0, 3)"
1132,"(4, 2, 3, 4, 0, 0)"
1134,"(2, 2, 4, 2, 4, 3)"
1139,"(2, 1, 4, 4, 3, 0)"
1146,"(3, 0, 2, 1, 4, 0)"
1147,"(3, 1, 1, 0, 3, 2)"
1148,"(3, 3, 3, 4, 4, 2)"
1150,"(3, 2, 4, 2, 4, 4)"
1153,"(3, 3, 1, 1, 2, 2)"
1154,"(2, 0, 2, 1, 4, 0)"
1156,"(2, 0, 2, 1, 3, 4)"
1160,"(3, 4, 3, 2, 3, 4)"
1161,"(3, 1, 2, 4, 2, 3)"
1163,"(4, 2, 2, 3, 4, 3)"
1164,"(2, 0, 4, 4, 1, 4)"
1165,"(4, 1, 3, 4, 4, 3)"
1167,"(2, 4, 3, 2, 3, 2)"
1171,"(3, 1, 1, 3, 3, 3)"
1174,"(2, 2, 3, 4, 0, 4)"
1175,"(2, 2, 4, 4, 1, 2)"
1179,"(2, 0, 1, 3, 2, 2)"
1180,"(2, 3, 1, 1, 2, 4)"
1181,"(3, 4, 3, 1, 0, 2)"
1184,"(3, 1, 2, 0, 4, 0)"
1187,"(3, 0, 2, 4, 0, 3)"
1190,"(3, 1, 3, 2, 2, 2)"
1191,"(3, 0, 3, 2, 3, 0)"
1194,"(2, 2, 0, 3, 2, 2)"
1195,"(4, 2, 0, 4, 0, 0)"
1196,"(3, 2, 3, 0, 4, 3)"
1201,"(4, 3, 4, 1, 3, 4)"
1203,"(3, 4, 3, 4, 0, 3)"
1204,"(3, 2, 0, 3, 1, 3)"
1205,"(2, 1, 4, 2, 1, 0)"
1207,"(2, 3, 3, 3, 1, 0)"
1209,"(2, 0, 4, 3, 3, 2)"
1211,"(4, 1, 2, 2, 4, 4)"
1213,"(4, 0, 3, 1, 2, 3)"
1215,"(2, 1, 4, 0, 2, 2)"
1219,"(3, 2, 3, 3, 4, 4)"
1220,"(3, 1, 2, 3, 0, 3)"
1221,"(3, 0, 4, 2, 0, 2)"
1223,"(2, 0, 2, 4, 1, 2)"
1225,"(3, 4, 2, 3, 4, 0)"
1228,"(0, 0, 1, 0, 1, 3)"
1233,"(2, 2, 0, 2, 3, 0)"
1237,"(2, 1, 2, 0, 3, 4)"
1238,"(3, 3, 2, 0, 2, 4)"
1240,"(2, 4, 2, 2, 4, 0)"
1241,"(0, 3, 2, 0, 2, 4)"
1247,"(3, 3, 4, 4, 1, 0)"
1248,"(4, 1, 4, 4, 3, 4)"
1249,"(2, 2, 2, 4, 2, 2)"
1251,"(2, 4, 2, 2, 0, 2)"
1256,"(2, 1, 3, 4, 1, 0)"
1257,"(3, 2, 4, 4, 3, 4)"
1263,"(2, 0, 2, 3, 3, 0)"
1265,"(4, 3, 2, 2, 0, 3)"
1267,"(2, 2, 3, 3, 0, 3)"
1273,"(4, 0, 2, 0, 1, 4)"
1274,"(4, 0, 0, 1, 2, 3)"
1275,"(3, 2, 1, 3, 4, 2)"
1276,"(4, 3, 2, 1, 4, 4)"
1277,"(4, 2, 4, 4, 2, 4)"
1278,"(0, 3, 4, 2, 0, 4)"
1279,"(2, 4, 3, 0, 2, 4)"
1280,"(2, 4, 1, 1, 3, 3)"
1281,"(2, 3, 1, 4, 1, 4)"
1282,"(4, 4, 0, 4, 4, 3)"
1283,"(2, 2, 1, 1, 3, 0)"
1285,"(3, 2, 4, 3, 0, 2)"
1287,"(2, 3, 1, 3, 2, 0)"
1288,"(2, 1, 1, 0, 4, 3)"
1289,"(0, 2, 0, 4, 2, 3)"
1291,"(2, 4, 0, 0, 4, 3)"
1294,"(2, 0, 3, 3, 0, 2)"
1296,"(2, 1, 4, 2, 0, 3)"
1297,"(3, 2, 4, 0, 1, 3)"
1299,"(0, 1, 2, 1, 0, 1)"
1300,"(3, 4, 3, 3, 0, 2)"
1301,"(2, 4, 1, 4, 4, 0)"
1304,"(3, 1, 1, 2, 3, 4)"
1305,"(2, 0, 0, 4, 2, 2)"
1309,"(2, 4, 4, 4, 0, 0)"
1313,"(4, 0, 3, 0, 2, 2)"
1316,"(3, 0, 3, 4, 3, 0)"
1321,"(2, 1, 0, 0, 4, 4)"
1327,"(4, 2, 4, 3, 4, 2)"
1328,"(2, 0, 4, 1, 2, 4)"
1335,"(3, 2, 4, 2, 2, 0)"
1336,"(0, 3, 0, 3, 2, 3)"
1340,"(2, 4, 2, 2, 3, 3)"
1341,"(2, 4, 0, 2, 1, 2)"
1343,"(2, 0, 1, 4, 3, 0)"
1346,"(3, 2, 0, 1, 2, 0)"
1349,"(3, 1, 1, 4, 0, 3)"
1350,"(2, 0, 0, 3, 4, 0)"
1353,"(3, 4, 0, 0, 2, 2)"
1354,"(2, 0, 3, 0, 3, 2)"
1358,"(3, 3, 0, 4, 3, 2)"
1361,"(3, 1, 4, 4, 4, 0)"
1367,"(1, 4, 3, 1, 1, 0)"
1368,"(3, 0, 0, 2, 4, 4)"
1371,"(3, 2, 2, 0, 4, 4)"
1373,"(2, 0, 0, 3, 0, 2)"
1375,"(3, 2, 4, 3, 3, 3)"
1376,"(2, 3, 4, 3, 0, 3)"
1377,"(4, 4, 4, 4, 3, 2)"
1379,"(4, 0, 3, 4, 4, 2)"
1382,"(3, 1, 0, 3, 4, 0)"
1383,"(2, 0, 4, 0, 4, 2)"
1387,"(4, 2, 2, 4, 3, 2)"
1389,"(2, 0, 3, 3, 3, 3)"
1390,"(4, 0, 0, 0, 2, 2)"
1392,"(4, 3, 1, 3, 2, 4)"
1393,"(2, 4, 1, 0, 3, 2)"
1394,"(4, 4, 0, 3, 4, 2)"
1403,"(4, 3, 0, 4, 4, 3)"
1406,"(4, 1, 3, 0, 2, 0)"
1410,"(3, 0, 0, 4, 1, 3)"
1417,"(4, 0, 1, 4, 3, 3)"
1419,"(0, 2, 4, 2, 2, 4)"
1420,"(3, 4, 4, 1, 4, 3)"
1421,"(2, 4, 0, 2, 4, 3)"
1426,"(0, 4, 4, 4, 4, 2)"
1428,"(4, 0, 3, 3, 1, 2)"
1429,"(4, 1, 1, 0, 3, 2)"
1436,"(4, 3, 1, 2, 4, 2)"
1437,"(4, 1, 4, 1, 3, 1)"
1438,"(2, 0, 2, 0, 4, 0)"
1444,"(0, 4, 4, 4, 0, 4)"
1449,"(4, 3, 1, 2, 0, 4)"
1450,"(2, 2, 3, 2, 2, 3)"
1451,"(2, 3, 0, 0, 2, 4)"
1459,"(3, 4, 0, 3, 4, 4)"
1463,"(0, 0, 4, 0, 0, 4)"
1464,"(3, 3, 4, 4, 4, 3)"
1468,"(4, 2, 0, 4, 4, 2)"
1470,"(3, 2, 1, 4, 2, 2)"
1476,"(2, 2, 4, 4, 0, 3)"
1479,"(4, 4, 3, 4, 2, 2)"
1481,"(4, 2, 3, 3, 4, 4)"
1485,"(3, 3, 2, 4, 2, 0)"
1486,"(2, 2, 4, 3, 4, 4)"
1491,"(3, 4, 3, 0, 3, 4)"
1492,"(3, 4, 1, 1, 4, 3)"
1494,"(2, 4, 4, 3, 2, 0)"
1500,"(4, 3, 0, 0, 0, 3)"
1502,"(4, 4, 3, 1, 3, 3)"
1507,"(4, 1, 1, 3, 0, 4)"
1508,"(2, 2, 1, 3, 1, 3)"
1509,"(4, 3, 0, 3, 4, 2)"
1511,"(3, 0, 3, 3, 1, 2)"
1513,"(4, 3, 3, 0, 3, 4)"
1515,"(4, 0, 1, 3, 2, 2)"
1516,"(4, 4, 2, 3, 3, 0)"
1519,"(0, 0, 0, 3, 0, 2)"
1521,"(3, 0, 0, 3, 1, 2)"
1522,"(3, 4, 1, 4, 4, 4)"
1524,"(2, 4, 0, 1, 3, 2)"
1525,"(4, 3, 0, 3, 0, 4)"
1528,"(0, 2, 2, 2, 3, 2)"
1529,"(4, 1, 4, 3, 1, 2)"
