,net
217,"(3, 2, 2, 2, 0, 1)"
222,"(3, 2, 3, 3, 1, 3)"
225,"(0, 3, 0, 0, 0, 2)"
228,"(3, 3, 3, 2, 0, 2)"
231,"(2, 0, 1, 2, 0, 3)"
240,"(2, 2, 3, 2, 3, 2)"
247,"(3, 0, 2, 2, 3, 2)"
248,"(2, 1, 0, 3, 2, 2)"
249,"(2, 3, 2, 1, 1, 1)"
255,"(3, 2, 0, 1, 3, 2)"
259,"(2, 3, 2, 1, 2, 2)"
262,"(3, 1, 1, 3, 2, 1)"
263,"(3, 3, 1, 1, 3, 2)"
270,"(3, 2, 3, 2, 2, 1)"
274,"(3, 1, 1, 3, 3, 2)"
278,"(2, 1, 1, 1, 3, 3)"
279,"(2, 3, 1, 1, 2, 3)"
280,"(3, 1, 2, 1, 3, 3)"
281,"(1, 2, 1, 1, 3, 3)"
294,"(3, 2, 3, 0, 3, 1)"
300,"(2, 1, 2, 2, 2, 1)"
301,"(3, 2, 1, 3, 1, 1)"
302,"(3, 2, 2, 2, 3, 2)"
304,"(2, 2, 1, 3, 2, 2)"
306,"(2, 2, 0, 3, 2, 1)"
314,"(3, 2, 2, 3, 2, 2)"
318,"(2, 2, 1, 3, 3, 3)"
329,"(2, 1, 1, 3, 0, 2)"
333,"(3, 1, 2, 3, 0, 2)"
334,"(3, 1, 1, 2, 0, 2)"
335,"(3, 0, 2, 0, 2, 3)"
342,"(3, 3, 2, 0, 1, 2)"
352,"(2, 2, 3, 1, 3, 1)"
354,"(2, 1, 2, 0, 3, 3)"
355,"(3, 3, 1, 3, 0, 3)"
358,"(2, 3, 0, 1, 3, 2)"
359,"(3, 1, 3, 0, 3, 3)"
360,"(1, 0, 2, 3, 2, 3)"
362,"(1, 3, 2, 3, 1, 2)"
374,"(1, 0, 3, 1, 2, 3)"
376,"(3, 3, 1, 1, 1, 3)"
377,"(2, 3, 1, 0, 0, 1)"
378,"(2, 3, 2, 0, 2, 1)"
381,"(3, 3, 3, 1, 1, 3)"
386,"(1, 2, 1, 0, 2, 2)"
391,"(2, 2, 1, 2, 1, 2)"
392,"(3, 2, 3, 2, 1, 3)"
394,"(2, 2, 3, 3, 0, 2)"
396,"(0, 1, 0, 2, 0, 3)"
399,"(2, 3, 3, 0, 3, 1)"
402,"(3, 2, 0, 3, 3, 2)"
403,"(3, 3, 3, 1, 0, 1)"
405,"(2, 1, 1, 0, 3, 1)"
407,"(2, 3, 2, 3, 2, 2)"
409,"(3, 1, 2, 0, 3, 1)"
411,"(3, 3, 3, 1, 1, 2)"
413,"(3, 0, 1, 0, 3, 2)"
415,"(3, 0, 3, 2, 2, 1)"
418,"(2, 1, 1, 3, 3, 3)"
420,"(2, 0, 3, 3, 0, 1)"
421,"(2, 2, 3, 0, 1, 2)"
422,"(2, 1, 0, 2, 3, 2)"
424,"(3, 3, 1, 0, 3, 1)"
425,"(3, 1, 1, 2, 3, 3)"
427,"(3, 1, 2, 3, 3, 2)"
428,"(3, 3, 0, 0, 2, 2)"
436,"(2, 1, 1, 2, 0, 1)"
442,"(1, 2, 3, 2, 2, 3)"
445,"(1, 2, 2, 1, 2, 2)"
447,"(3, 0, 1, 2, 0, 2)"
448,"(1, 3, 2, 3, 3, 1)"
449,"(2, 1, 1, 2, 1, 2)"
454,"(3, 3, 1, 3, 3, 3)"
458,"(3, 1, 3, 1, 2, 1)"
459,"(1, 2, 2, 1, 3, 3)"
463,"(2, 1, 3, 1, 3, 2)"
465,"(2, 2, 0, 2, 2, 1)"
466,"(2, 1, 2, 1, 3, 1)"
467,"(3, 3, 1, 2, 0, 2)"
470,"(2, 3, 0, 0, 3, 1)"
471,"(2, 2, 1, 2, 3, 2)"
476,"(1, 1, 0, 3, 1, 1)"
480,"(3, 3, 2, 2, 1, 2)"
481,"(3, 2, 0, 2, 2, 2)"
494,"(0, 2, 0, 2, 0, 2)"
496,"(2, 1, 2, 2, 3, 3)"
502,"(3, 0, 2, 3, 2, 1)"
503,"(3, 1, 3, 2, 3, 3)"
514,"(2, 0, 3, 3, 3, 2)"
515,"(2, 1, 3, 3, 1, 3)"
517,"(2, 2, 3, 0, 3, 1)"
518,"(2, 3, 3, 0, 2, 3)"
519,"(3, 2, 3, 1, 2, 3)"
521,"(3, 2, 1, 3, 3, 3)"
523,"(3, 1, 2, 0, 2, 3)"
526,"(3, 1, 2, 2, 2, 2)"
533,"(2, 1, 0, 1, 3, 2)"
536,"(2, 1, 1, 2, 3, 1)"
539,"(3, 1, 1, 1, 3, 1)"
542,"(1, 2, 3, 1, 2, 2)"
546,"(1, 2, 2, 0, 2, 1)"
547,"(2, 2, 3, 2, 1, 2)"
550,"(3, 3, 1, 2, 3, 2)"
558,"(1, 1, 1, 2, 1, 2)"
559,"(3, 0, 2, 2, 1, 2)"
560,"(2, 1, 3, 0, 3, 1)"
561,"(3, 3, 0, 2, 2, 2)"
566,"(2, 1, 2, 1, 2, 3)"
568,"(2, 3, 0, 0, 2, 3)"
570,"(2, 0, 0, 3, 2, 0)"
575,"(3, 1, 1, 3, 0, 1)"
584,"(2, 1, 2, 3, 2, 1)"
587,"(3, 1, 3, 3, 2, 1)"
589,"(2, 2, 3, 3, 1, 3)"
593,"(0, 2, 0, 1, 0, 1)"
594,"(1, 2, 1, 1, 1, 3)"
598,"(2, 3, 1, 3, 3, 1)"
602,"(3, 0, 2, 3, 1, 3)"
604,"(3, 1, 0, 0, 3, 3)"
607,"(1, 3, 2, 0, 1, 3)"
612,"(2, 3, 2, 2, 0, 3)"
619,"(2, 2, 2, 2, 2, 1)"
621,"(3, 2, 2, 3, 0, 1)"
623,"(3, 2, 3, 0, 2, 1)"
625,"(3, 2, 3, 3, 1, 2)"
627,"(1, 0, 3, 2, 3, 2)"
637,"(2, 2, 2, 2, 3, 1)"
638,"(3, 1, 3, 1, 3, 3)"
645,"(3, 0, 2, 2, 3, 1)"
648,"(3, 2, 3, 3, 2, 2)"
652,"(3, 3, 1, 2, 1, 3)"
659,"(1, 1, 1, 1, 1, 1)"
661,"(2, 3, 2, 1, 3, 2)"
665,"(3, 1, 1, 3, 3, 1)"
667,"(2, 1, 3, 0, 2, 3)"
669,"(2, 3, 1, 1, 2, 2)"
682,"(3, 1, 0, 1, 2, 2)"
692,"(2, 3, 3, 0, 1, 1)"
694,"(3, 1, 3, 3, 1, 3)"
696,"(3, 2, 1, 0, 2, 3)"
698,"(3, 2, 1, 3, 2, 1)"
700,"(2, 2, 1, 3, 3, 2)"
706,"(2, 3, 2, 2, 3, 3)"
708,"(3, 2, 0, 3, 1, 1)"
709,"(3, 0, 1, 0, 1, 2)"
715,"(2, 3, 2, 3, 0, 1)"
719,"(3, 2, 2, 3, 3, 1)"
720,"(3, 0, 0, 3, 3, 0)"
722,"(3, 1, 1, 2, 0, 1)"
730,"(2, 1, 0, 2, 1, 1)"
732,"(2, 1, 1, 3, 1, 2)"
736,"(3, 1, 2, 3, 1, 2)"
737,"(3, 2, 0, 0, 2, 1)"
745,"(2, 1, 0, 2, 2, 2)"
746,"(1, 2, 3, 1, 3, 3)"
747,"(3, 3, 1, 3, 0, 2)"
751,"(3, 1, 3, 0, 3, 2)"
762,"(2, 1, 0, 0, 2, 2)"
767,"(3, 1, 1, 0, 2, 2)"
775,"(3, 3, 1, 1, 1, 2)"
783,"(3, 3, 1, 1, 2, 3)"
793,"(3, 2, 2, 2, 1, 1)"
794,"(2, 2, 3, 3, 0, 1)"
795,"(0, 1, 0, 2, 0, 2)"
799,"(3, 1, 1, 3, 2, 3)"
803,"(2, 2, 1, 2, 2, 2)"
804,"(2, 0, 1, 3, 1, 2)"
806,"(3, 2, 3, 2, 2, 3)"
808,"(3, 2, 2, 2, 2, 2)"
813,"(1, 1, 2, 3, 2, 1)"
815,"(3, 1, 0, 0, 2, 1)"
819,"(2, 1, 2, 2, 1, 2)"
820,"(3, 2, 2, 0, 2, 2)"
823,"(1, 1, 1, 3, 1, 2)"
827,"(3, 1, 3, 2, 1, 2)"
829,"(3, 3, 3, 1, 2, 2)"
833,"(3, 2, 3, 0, 3, 3)"
836,"(3, 0, 3, 2, 3, 1)"
839,"(2, 2, 3, 0, 2, 2)"
847,"(1, 2, 1, 2, 0, 2)"
854,"(1, 0, 2, 0, 1, 3)"
860,"(2, 1, 1, 2, 1, 1)"
866,"(3, 1, 1, 1, 1, 1)"
873,"(2, 3, 0, 1, 2, 3)"
874,"(2, 2, 0, 2, 3, 1)"
875,"(3, 2, 1, 2, 3, 1)"
880,"(2, 2, 3, 1, 3, 3)"
884,"(3, 2, 0, 2, 2, 1)"
899,"(3, 2, 0, 2, 3, 2)"
912,"(2, 3, 2, 0, 2, 3)"
914,"(2, 1, 1, 0, 2, 3)"
917,"(2, 0, 3, 3, 3, 1)"
919,"(3, 2, 3, 1, 2, 2)"
921,"(3, 2, 1, 3, 3, 2)"
926,"(2, 3, 3, 0, 3, 3)"
927,"(3, 1, 2, 0, 2, 2)"
928,"(1, 0, 3, 3, 3, 3)"
932,"(2, 3, 3, 3, 3, 1)"
936,"(2, 1, 1, 0, 3, 3)"
937,"(3, 1, 2, 0, 3, 3)"
938,"(3, 1, 3, 2, 1, 3)"
953,"(1, 2, 2, 1, 1, 3)"
958,"(1, 0, 0, 0, 2, 0)"
960,"(2, 1, 1, 2, 0, 3)"
965,"(1, 1, 3, 2, 3, 2)"
969,"(3, 1, 1, 1, 0, 3)"
972,"(1, 3, 2, 3, 3, 3)"
974,"(2, 1, 2, 1, 2, 2)"
975,"(2, 2, 3, 2, 2, 1)"
979,"(2, 3, 0, 0, 2, 2)"
980,"(3, 1, 3, 1, 2, 3)"
982,"(2, 2, 0, 2, 2, 3)"
983,"(2, 1, 2, 1, 3, 3)"
986,"(2, 3, 0, 0, 3, 3)"
987,"(2, 0, 0, 3, 3, 0)"
999,"(2, 2, 3, 3, 2, 3)"
1004,"(2, 2, 2, 3, 2, 2)"
1007,"(3, 0, 2, 3, 1, 2)"
1008,"(3, 1, 0, 0, 3, 2)"
1013,"(3, 1, 2, 1, 1, 1)"
1019,"(3, 0, 2, 3, 2, 3)"
1029,"(2, 3, 2, 2, 1, 3)"
1030,"(1, 0, 1, 2, 1, 3)"
1032,"(2, 2, 3, 0, 3, 3)"
1037,"(3, 2, 2, 3, 1, 1)"
1040,"(0, 0, 0, 3, 0, 0)"
1041,"(3, 0, 0, 3, 1, 0)"
1042,"(2, 1, 0, 1, 2, 3)"
1046,"(3, 1, 1, 1, 2, 3)"
1054,"(3, 2, 3, 3, 2, 1)"
1058,"(2, 1, 1, 2, 3, 3)"
1068,"(3, 1, 1, 1, 3, 3)"
1071,"(3, 3, 1, 2, 2, 3)"
1079,"(1, 2, 2, 0, 2, 3)"
1088,"(2, 1, 2, 0, 2, 2)"
1090,"(3, 1, 3, 0, 2, 2)"
1094,"(2, 1, 3, 0, 3, 3)"
1095,"(2, 2, 0, 1, 2, 2)"
1101,"(3, 1, 0, 1, 2, 1)"
1112,"(3, 1, 1, 3, 0, 3)"
1114,"(3, 1, 3, 3, 1, 2)"
1116,"(3, 3, 1, 1, 0, 2)"
1122,"(2, 1, 2, 3, 2, 3)"
1125,"(3, 1, 3, 3, 2, 3)"
1126,"(1, 3, 0, 3, 1, 3)"
1127,"(0, 2, 0, 1, 0, 3)"
1128,"(3, 1, 2, 1, 0, 3)"
1129,"(3, 2, 3, 2, 0, 2)"
1131,"(2, 3, 1, 3, 3, 3)"
1140,"(1, 0, 1, 1, 1, 2)"
1147,"(2, 2, 1, 3, 0, 3)"
1148,"(2, 0, 3, 2, 3, 2)"
1154,"(2, 1, 0, 2, 2, 1)"
1155,"(2, 2, 2, 2, 2, 3)"
1159,"(3, 2, 0, 0, 3, 1)"
1164,"(0, 3, 0, 0, 0, 3)"
1165,"(1, 1, 0, 2, 2, 3)"
1167,"(2, 1, 0, 0, 2, 1)"
1170,"(0, 3, 0, 3, 0, 1)"
1176,"(1, 3, 2, 1, 2, 2)"
1177,"(3, 1, 1, 0, 2, 1)"
1182,"(2, 1, 0, 0, 3, 2)"
1184,"(3, 1, 1, 0, 3, 2)"
1185,"(3, 0, 2, 2, 3, 3)"
1190,"(3, 2, 0, 1, 3, 3)"
1191,"(3, 3, 1, 1, 2, 2)"
1193,"(2, 3, 2, 1, 2, 3)"
1195,"(3, 3, 1, 1, 3, 3)"
1202,"(1, 1, 1, 1, 1, 3)"
1203,"(2, 2, 1, 2, 2, 1)"
1206,"(3, 0, 0, 2, 1, 0)"
1207,"(3, 2, 2, 2, 2, 1)"
1213,"(3, 1, 1, 3, 3, 3)"
1215,"(1, 1, 3, 1, 3, 3)"
1216,"(1, 3, 3, 2, 1, 3)"
1217,"(2, 0, 1, 3, 2, 2)"
1221,"(3, 2, 2, 0, 2, 1)"
1227,"(1, 1, 1, 3, 1, 1)"
1229,"(3, 1, 3, 2, 1, 1)"
1230,"(3, 3, 3, 1, 2, 1)"
1233,"(2, 1, 2, 2, 2, 2)"
1236,"(3, 2, 1, 3, 1, 2)"
1237,"(3, 1, 3, 2, 2, 2)"
1238,"(3, 2, 2, 0, 3, 2)"
1242,"(2, 2, 0, 3, 2, 2)"
1244,"(1, 2, 3, 0, 2, 3)"
1246,"(2, 2, 3, 0, 2, 1)"
1249,"(2, 3, 1, 2, 3, 2)"
1252,"(3, 2, 1, 3, 2, 3)"
1256,"(3, 0, 3, 3, 3, 3)"
1265,"(1, 0, 2, 0, 1, 2)"
1270,"(3, 2, 2, 3, 3, 3)"
1273,"(2, 1, 1, 3, 0, 3)"
1277,"(3, 1, 2, 3, 0, 3)"
1281,"(3, 1, 1, 2, 0, 3)"
1287,"(2, 1, 0, 2, 1, 3)"
1289,"(3, 2, 0, 0, 2, 3)"
1294,"(2, 2, 2, 1, 2, 1)"
1295,"(1, 1, 0, 1, 2, 2)"
1302,"(1, 0, 1, 3, 1, 3)"
1305,"(2, 2, 2, 1, 3, 2)"
1306,"(2, 3, 0, 1, 3, 3)"
1310,"(1, 3, 1, 3, 1, 2)"
1311,"(2, 1, 2, 1, 0, 2)"
1312,"(2, 2, 3, 2, 0, 1)"
1313,"(1, 1, 3, 2, 1, 1)"
1314,"(1, 1, 1, 2, 0, 2)"
1316,"(1, 1, 3, 0, 1, 2)"
1327,"(2, 0, 0, 3, 1, 0)"
1329,"(2, 3, 2, 0, 2, 2)"
1330,"(3, 3, 2, 1, 3, 2)"
1339,"(2, 2, 1, 2, 1, 3)"
1340,"(3, 2, 2, 2, 1, 3)"
1341,"(2, 2, 3, 3, 0, 3)"
1344,"(2, 2, 2, 3, 0, 2)"
1346,"(3, 0, 0, 1, 2, 0)"
1347,"(2, 3, 2, 0, 3, 2)"
1350,"(2, 1, 1, 0, 3, 2)"
1356,"(2, 1, 3, 2, 2, 1)"
1358,"(3, 0, 2, 3, 0, 3)"
1359,"(3, 1, 0, 0, 2, 3)"
1360,"(3, 1, 2, 0, 3, 2)"
1367,"(3, 0, 3, 2, 2, 2)"
1369,"(2, 0, 3, 3, 0, 2)"
1376,"(3, 1, 2, 3, 3, 3)"
1386,"(2, 1, 1, 2, 0, 2)"
1392,"(1, 1, 2, 2, 3, 1)"
1396,"(2, 0, 1, 2, 3, 2)"
1397,"(2, 1, 1, 2, 1, 3)"
1404,"(3, 1, 3, 1, 2, 2)"
1408,"(2, 2, 0, 2, 2, 2)"
1409,"(2, 1, 2, 1, 3, 2)"
1411,"(3, 3, 1, 2, 0, 3)"
1415,"(2, 2, 0, 2, 3, 3)"
1418,"(3, 2, 1, 2, 3, 3)"
1423,"(1, 2, 0, 1, 1, 1)"
1426,"(3, 2, 0, 2, 2, 3)"
1427,"(2, 0, 3, 0, 3, 2)"
1433,"(2, 2, 2, 3, 2, 1)"
1439,"(2, 1, 3, 0, 1, 2)"
1443,"(2, 2, 2, 3, 3, 2)"
1444,"(3, 0, 1, 3, 2, 1)"
1445,"(3, 0, 2, 3, 2, 2)"
1448,"(2, 2, 1, 1, 1, 2)"
1452,"(1, 0, 3, 0, 3, 3)"
1453,"(2, 0, 2, 3, 2, 2)"
1457,"(2, 0, 3, 3, 3, 3)"
1461,"(1, 0, 1, 2, 2, 3)"
1463,"(2, 3, 3, 3, 3, 3)"
1467,"(3, 0, 3, 1, 2, 1)"
1480,"(3, 1, 1, 1, 3, 2)"
1483,"(2, 0, 1, 1, 2, 1)"
1491,"(2, 2, 3, 2, 1, 3)"
1496,"(3, 3, 1, 2, 3, 3)"
1498,"(2, 1, 2, 0, 2, 1)"
1503,"(3, 1, 3, 0, 2, 1)"
1508,"(3, 0, 2, 2, 1, 3)"
1514,"(2, 2, 3, 2, 2, 3)"
1521,"(2, 2, 0, 1, 3, 2)"
1522,"(3, 1, 1, 3, 0, 2)"
1530,"(3, 2, 0, 1, 2, 3)"
1532,"(3, 1, 3, 3, 2, 2)"
1533,"(3, 2, 1, 1, 3, 1)"
1534,"(2, 3, 0, 3, 2, 1)"
1537,"(2, 3, 1, 3, 3, 2)"
1545,"(2, 2, 1, 0, 1, 1)"
1547,"(3, 1, 2, 1, 1, 3)"
1550,"(2, 1, 2, 2, 0, 2)"
1551,"(3, 1, 0, 3, 3, 2)"
1558,"(3, 1, 3, 2, 0, 1)"
1560,"(2, 2, 1, 3, 0, 2)"
1563,"(2, 0, 3, 2, 3, 1)"
1569,"(3, 2, 2, 3, 0, 2)"
1572,"(2, 3, 1, 2, 1, 1)"
1574,"(2, 2, 1, 3, 1, 3)"
1576,"(3, 0, 3, 3, 1, 2)"
1578,"(3, 2, 2, 3, 1, 3)"
1579,"(1, 2, 3, 0, 1, 3)"
1582,"(2, 3, 3, 2, 3, 1)"
1588,"(2, 2, 2, 2, 3, 2)"
1589,"(1, 1, 0, 2, 3, 3)"
1590,"(2, 1, 0, 0, 3, 1)"
1592,"(3, 1, 1, 0, 3, 1)"
1595,"(1, 3, 2, 1, 3, 2)"
1596,"(3, 2, 3, 3, 2, 3)"
1604,"(1, 1, 2, 1, 2, 2)"
1609,"(1, 1, 1, 1, 1, 2)"
1611,"(2, 3, 2, 1, 3, 3)"
1613,"(3, 1, 3, 0, 1, 3)"
1618,"(2, 2, 3, 1, 2, 2)"
1619,"(1, 1, 3, 1, 3, 2)"
1620,"(1, 1, 1, 1, 2, 3)"
1623,"(3, 0, 0, 2, 2, 0)"
1624,"(2, 0, 0, 2, 2, 0)"
1630,"(3, 2, 2, 2, 3, 1)"
1635,"(2, 0, 1, 3, 3, 2)"
1636,"(3, 1, 0, 1, 2, 3)"
1642,"(3, 1, 3, 2, 2, 1)"
1644,"(3, 2, 2, 0, 3, 1)"
1648,"(2, 3, 1, 2, 3, 1)"
1649,"(3, 2, 1, 3, 2, 2)"
1654,"(1, 2, 3, 0, 3, 3)"
1656,"(3, 0, 3, 3, 3, 2)"
1667,"(2, 3, 2, 3, 0, 2)"
1671,"(3, 2, 2, 3, 3, 2)"
1672,"(3, 3, 3, 3, 3, 2)"
1683,"(2, 1, 1, 3, 1, 3)"
1685,"(3, 1, 2, 3, 1, 3)"
1686,"(3, 2, 0, 0, 2, 2)"
1695,"(1, 0, 1, 3, 1, 2)"
1697,"(2, 1, 0, 2, 2, 3)"
1699,"(3, 2, 0, 0, 3, 3)"
1701,"(2, 2, 2, 1, 3, 1)"
1706,"(2, 0, 1, 2, 1, 2)"
1710,"(2, 1, 0, 0, 2, 3)"
1715,"(0, 3, 0, 3, 0, 3)"
1721,"(3, 1, 1, 0, 2, 3)"
1733,"(1, 3, 2, 3, 2, 2)"
1735,"(3, 2, 1, 2, 0, 1)"
1743,"(3, 2, 2, 2, 1, 2)"
1746,"(2, 2, 2, 3, 0, 1)"
1748,"(1, 1, 3, 0, 3, 2)"
1749,"(2, 3, 2, 0, 3, 1)"
1751,"(2, 2, 1, 2, 2, 3)"
1752,"(2, 0, 1, 3, 1, 3)"
1754,"(3, 2, 2, 2, 2, 3)"
1762,"(3, 0, 2, 3, 0, 2)"
1763,"(3, 1, 0, 0, 2, 2)"
1765,"(2, 1, 2, 2, 1, 3)"
1767,"(3, 2, 2, 0, 2, 3)"
1771,"(1, 1, 1, 3, 1, 3)"
1776,"(2, 0, 2, 3, 0, 2)"
1777,"(2, 1, 3, 2, 3, 1)"
1783,"(3, 0, 3, 2, 3, 2)"
1784,"(2, 0, 3, 3, 1, 2)"
1785,"(2, 2, 3, 0, 2, 3)"
1790,"(2, 3, 3, 3, 0, 1)"
1801,"(1, 2, 3, 3, 2, 2)"
1804,"(1, 3, 2, 2, 0, 2)"
1807,"(2, 0, 1, 2, 3, 1)"
1815,"(2, 2, 0, 2, 3, 2)"
1816,"(2, 2, 2, 1, 2, 3)"
1819,"(3, 2, 1, 2, 3, 2)"
1824,"(1, 2, 2, 0, 0, 1)"
1829,"(0, 3, 0, 2, 0, 1)"
1833,"(2, 2, 3, 2, 0, 3)"
1835,"(3, 2, 0, 2, 3, 3)"
1836,"(3, 3, 2, 3, 2, 2)"
1841,"(2, 2, 2, 3, 3, 1)"
1849,"(1, 0, 3, 0, 3, 2)"
1855,"(3, 0, 1, 3, 3, 1)"
1857,"(1, 2, 1, 0, 3, 1)"
1858,"(3, 1, 3, 3, 0, 2)"
1859,"(2, 2, 1, 1, 2, 2)"
1863,"(2, 0, 2, 3, 3, 2)"
1868,"(3, 2, 2, 1, 2, 1)"
1869,"(2, 3, 3, 3, 3, 2)"
1873,"(2, 3, 2, 3, 3, 1)"
1879,"(2, 3, 1, 3, 2, 2)"
1880,"(3, 1, 0, 3, 1, 1)"
1882,"(1, 0, 1, 0, 3, 3)"
1896,"(3, 3, 0, 0, 3, 1)"
1897,"(3, 2, 3, 0, 2, 2)"
1898,"(1, 3, 2, 1, 0, 1)"
1900,"(2, 2, 2, 2, 1, 2)"
1903,"(1, 1, 0, 2, 1, 3)"
1904,"(2, 0, 1, 1, 3, 1)"
1905,"(2, 0, 0, 0, 3, 0)"
1921,"(2, 2, 3, 2, 2, 2)"
1924,"(3, 3, 0, 3, 3, 2)"
1925,"(3, 0, 2, 2, 2, 2)"
1928,"(3, 2, 0, 1, 2, 2)"
1935,"(1, 1, 3, 1, 1, 2)"
1936,"(3, 3, 2, 2, 2, 1)"
1945,"(2, 2, 2, 3, 2, 3)"
1956,"(3, 0, 0, 0, 1, 0)"
1957,"(3, 0, 1, 3, 2, 3)"
1960,"(2, 0, 0, 2, 1, 0)"
1961,"(2, 0, 2, 2, 3, 1)"
1974,"(3, 2, 1, 3, 0, 1)"
1975,"(2, 2, 1, 3, 1, 2)"
1983,"(3, 2, 2, 3, 1, 2)"
1985,"(2, 3, 1, 2, 2, 1)"
1993,"(3, 0, 3, 3, 2, 2)"
1994,"(3, 0, 3, 1, 2, 3)"
1999,"(2, 0, 3, 2, 0, 3)"
2018,"(2, 0, 1, 1, 2, 3)"
2028,"(1, 3, 0, 2, 1, 3)"
2031,"(2, 2, 3, 1, 2, 1)"
2034,"(2, 1, 2, 0, 2, 3)"
2038,"(3, 1, 3, 0, 2, 3)"
2042,"(2, 2, 0, 1, 2, 3)"
2047,"(1, 1, 1, 1, 3, 3)"
2049,"(3, 0, 2, 1, 2, 1)"
2051,"(2, 0, 0, 2, 3, 0)"
2057,"(1, 0, 3, 1, 1, 3)"
2062,"(2, 2, 1, 2, 0, 3)"
2068,"(2, 3, 0, 3, 2, 3)"
2071,"(3, 2, 2, 2, 0, 2)"
2074,"(1, 1, 3, 3, 0, 2)"
2078,"(3, 3, 3, 3, 3, 1)"
2079,"(1, 3, 2, 0, 2, 2)"
2082,"(2, 0, 2, 2, 2, 3)"
2084,"(1, 0, 1, 1, 1, 3)"
2091,"(2, 0, 3, 2, 3, 3)"
2096,"(3, 2, 0, 0, 3, 2)"
2099,"(3, 3, 1, 0, 2, 1)"
2104,"(2, 0, 1, 2, 1, 1)"
2107,"(0, 3, 0, 3, 0, 2)"
2110,"(1, 3, 2, 1, 2, 3)"
2113,"(2, 1, 0, 0, 3, 3)"
2115,"(3, 1, 1, 0, 3, 3)"
2120,"(2, 0, 0, 1, 2, 0)"
2124,"(2, 2, 0, 2, 1, 1)"
2125,"(3, 2, 1, 2, 1, 1)"
2127,"(1, 1, 3, 0, 3, 1)"
2132,"(1, 3, 1, 0, 3, 1)"
2135,"(3, 3, 2, 3, 0, 2)"
2138,"(2, 0, 1, 3, 2, 3)"
2142,"(3, 2, 2, 2, 3, 3)"
2147,"(2, 0, 2, 3, 0, 1)"
2156,"(2, 1, 2, 2, 2, 3)"
2159,"(3, 2, 1, 3, 1, 3)"
2160,"(3, 2, 2, 0, 3, 3)"
2161,"(3, 1, 3, 2, 2, 3)"
