net,val_accs,aa_apgd-ce@Linf_eps-0.1,aa_apgd-ce@Linf_eps-0.5,aa_apgd-ce@Linf_eps-1.0,aa_apgd-ce@Linf_eps-2.0,aa_apgd-ce@Linf_eps-3.0,aa_apgd-ce@Linf_eps-4.0,aa_apgd-ce@Linf_eps-8.0,aa_square@Linf_eps-0.1,aa_square@Linf_eps-0.5,aa_square@Linf_eps-1.0,aa_square@Linf_eps-2.0,aa_square@Linf_eps-3.0,aa_square@Linf_eps-4.0,aa_square@Linf_eps-8.0,fgsm@Linf_eps-0.1,fgsm@Linf_eps-0.5,fgsm@Linf_eps-1.0,fgsm@Linf_eps-2.0,fgsm@Linf_eps-3.0,fgsm@Linf_eps-4.0,fgsm@Linf_eps-5.0,fgsm@Linf_eps-6.0,fgsm@Linf_eps-7.0,fgsm@Linf_eps-8.0,fgsm@Linf_eps-255.0,pgd@Linf_eps-0.1,pgd@Linf_eps-0.5,pgd@Linf_eps-1.0,pgd@Linf_eps-2.0,pgd@Linf_eps-3.0,pgd@Linf_eps-4.0,pgd@Linf_eps-8.0
"(2, 0, 4, 2, 1, 0)",86.24,83.39999999999999,39.2,5.4,0.0,0.0,0.0,0.0,88.2,75.9,56.3,22.5,7.3,2.6,0.4,83.8,53.0,28.000000000000004,12.0,8.1,6.6000000000000005,6.1,5.7,5.6000000000000005,5.7,10.2,84.39999999999999,49.3,14.899999999999999,0.7000000000000001,0.0,0.0,0.0
"(3, 4, 1, 4, 0, 0)",83.88,83.7,50.2,15.0,0.5,0.0,0.0,0.0,87.0,75.9,59.0,29.099999999999998,12.0,5.0,0.3,83.89999999999999,60.3,41.199999999999996,26.900000000000002,22.5,20.5,19.1,18.5,17.599999999999998,16.900000000000002,8.1,84.39999999999999,57.8,28.499999999999996,4.6,0.7000000000000001,0.2,0.0
"(4, 2, 4, 0, 2, 4)",81.42,83.39999999999999,58.699999999999996,25.900000000000002,1.7000000000000002,0.0,0.0,0.0,85.7,77.8,65.8,39.2,18.8,7.8,0.7000000000000001,83.39999999999999,63.9,41.9,18.3,9.2,5.800000000000001,4.1000000000000005,3.5000000000000004,2.9000000000000004,2.7,10.0,83.8,64.0,36.8,6.6000000000000005,0.6,0.1,0.0
"(4, 0, 0, 4, 1, 3)",86.32,83.8,48.199999999999996,12.2,0.3,0.0,0.0,0.0,87.4,76.7,59.599999999999994,27.900000000000002,10.4,3.6999999999999997,0.2,84.3,60.3,37.0,17.8,11.200000000000001,8.0,6.7,6.3,6.2,6.1,9.700000000000001,84.7,57.49999999999999,24.9,2.8000000000000003,0.2,0.0,0.0
"(1, 0, 3, 2, 0, 0)",86.09,83.8,46.800000000000004,10.8,0.2,0.0,0.0,0.0,87.5,76.6,58.699999999999996,27.3,10.0,3.3000000000000003,0.4,84.1,58.8,35.8,16.900000000000002,10.8,8.4,7.3999999999999995,6.9,6.800000000000001,6.6000000000000005,9.1,84.6,55.800000000000004,23.1,1.7999999999999998,0.1,0.0,0.0
"(3, 1, 1, 2, 2, 3)",87.15,86.0,47.5,12.5,0.5,0.0,0.0,0.0,89.8,78.9,61.5,32.4,15.6,8.0,0.8,86.5,67.7,56.3,47.699999999999996,44.6,42.8,40.2,38.0,35.199999999999996,32.2,10.2,86.9,60.0,33.1,8.799999999999999,2.3,0.7000000000000001,0.0
"(0, 0, 1, 0, 3, 3)",86.2,81.89999999999999,45.300000000000004,10.5,0.1,0.0,0.0,0.0,86.0,74.2,56.599999999999994,26.200000000000003,9.4,2.9000000000000004,0.3,82.39999999999999,57.599999999999994,36.8,18.2,12.2,9.8,8.3,7.5,6.800000000000001,7.000000000000001,11.3,82.8,54.300000000000004,23.3,1.7999999999999998,0.1,0.0,0.0
"(2, 2, 2, 1, 4, 1)",88.31,86.8,51.5,15.8,1.0999999999999999,0.1,0.0,0.0,90.0,80.2,63.1,32.4,14.499999999999998,6.3,0.3,87.2,67.30000000000001,52.800000000000004,42.4,38.1,35.3,33.6,31.7,29.799999999999997,27.900000000000002,10.0,87.5,61.8,34.0,10.8,3.8,1.4000000000000001,0.0
"(4, 0, 3, 0, 1, 1)",85.84,82.19999999999999,46.1,11.3,0.2,0.0,0.0,0.0,85.9,74.8,56.99999999999999,26.200000000000003,9.3,3.2,0.3,82.6,57.9,36.4,18.2,12.2,9.6,8.4,7.8,7.7,7.5,9.9,83.1,55.300000000000004,23.400000000000002,2.1,0.1,0.0,0.0
"(0, 2, 0, 0, 2, 3)",90.56,87.9,48.4,11.700000000000001,0.4,0.0,0.0,0.0,91.2,80.7,62.5,31.2,14.299999999999999,6.7,0.4,88.2,66.60000000000001,51.2,39.7,35.3,33.2,31.6,30.2,29.099999999999998,27.800000000000004,10.0,88.6,59.9,29.7,6.4,1.4000000000000001,0.3,0.0
"(2, 2, 3, 2, 1, 0)",90.33,89.4,56.3,18.9,1.2,0.1,0.0,0.0,92.30000000000001,83.3,68.89999999999999,39.0,19.6,9.700000000000001,0.7000000000000001,89.7,74.2,64.9,57.199999999999996,53.6,51.300000000000004,49.3,47.4,45.0,42.1,12.0,90.0,67.9,42.6,15.9,5.2,1.7000000000000002,0.0
"(3, 3, 2, 0, 4, 4)",87.83,86.6,52.1,15.6,0.8999999999999999,0.1,0.0,0.0,89.7,79.5,63.800000000000004,33.1,15.4,7.1,0.7000000000000001,87.1,65.9,49.5,36.1,31.6,29.2,27.900000000000002,26.900000000000002,25.900000000000002,24.8,10.4,87.5,61.7,32.7,8.1,2.3,0.8,0.0
"(3, 3, 0, 0, 2, 3)",89.74,87.0,46.6,10.7,0.3,0.0,0.0,0.0,90.8,80.5,63.4,30.7,13.5,5.800000000000001,0.5,87.5,66.8,50.0,36.7,32.0,29.299999999999997,27.1,25.3,23.7,21.9,9.6,87.9,59.3,26.200000000000003,4.6,0.8,0.2,0.0
"(2, 0, 3, 4, 4, 2)",89.66,87.8,55.60000000000001,19.8,2.1999999999999997,0.4,0.1,0.0,91.10000000000001,81.8,66.60000000000001,36.3,18.9,10.0,1.2,88.2,70.8,59.3,51.1,48.0,46.2,45.0,43.6,42.199999999999996,40.0,9.4,88.6,65.7,40.1,16.3,7.6,3.5000000000000004,0.3
"(0, 0, 2, 4, 2, 4)",83.09,79.80000000000001,37.6,5.6000000000000005,0.0,0.0,0.0,0.0,84.7,71.7,50.9,18.7,5.6000000000000005,1.7999999999999998,0.2,80.2,48.0,22.1,6.4,3.9,3.5000000000000004,3.5000000000000004,3.5999999999999996,3.5999999999999996,3.9,10.0,81.0,46.400000000000006,13.4,0.5,0.0,0.0,0.0
"(4, 2, 2, 0, 0, 1)",87.07,85.6,50.3,15.5,1.2,0.1,0.0,0.0,89.2,78.4,62.9,32.5,15.5,8.0,0.8,85.9,64.1,48.1,36.8,33.7,32.5,32.0,31.8,31.1,30.599999999999998,10.0,86.4,60.0,31.3,8.6,2.6,0.8,0.0
"(3, 1, 3, 1, 1, 2)",85.52,82.3,43.6,9.4,0.1,0.0,0.0,0.0,85.9,73.8,55.300000000000004,23.3,7.6,2.1999999999999997,0.2,82.69999999999999,56.99999999999999,34.4,16.8,11.5,9.1,8.200000000000001,7.5,7.000000000000001,6.6000000000000005,10.0,83.2,53.5,20.7,1.6,0.1,0.0,0.0
"(0, 0, 1, 3, 2, 4)",86.65,85.7,50.8,15.1,1.0999999999999999,0.1,0.0,0.0,89.3,79.2,63.7,32.9,14.499999999999998,6.9,0.8999999999999999,86.0,64.2,47.099999999999994,35.3,31.6,30.3,30.0,29.7,29.299999999999997,28.4,10.5,86.3,60.5,30.8,7.7,2.0,0.5,0.0
"(0, 3, 4, 1, 1, 1)",71.57,72.5,59.9,41.8,14.7,4.0,0.8999999999999999,0.0,74.0,65.60000000000001,53.1,28.999999999999996,13.4,6.2,0.7000000000000001,72.5,60.8,45.9,25.0,13.100000000000001,8.0,4.9,3.5999999999999996,3.0,2.5,9.8,72.8,62.0,46.7,22.400000000000002,9.2,3.0,0.0
"(1, 1, 2, 2, 1, 4)",88.28,87.2,50.2,13.3,0.5,0.0,0.0,0.0,90.5,79.5,62.0,29.299999999999997,12.3,4.8,0.2,87.7,66.9,51.1,38.9,33.800000000000004,31.4,29.7,28.199999999999996,26.900000000000002,25.8,10.4,88.1,61.5,31.1,7.000000000000001,1.7999999999999998,0.5,0.0
"(4, 2, 1, 0, 0, 3)",86.66,86.1,50.7,16.2,1.3,0.1,0.0,0.0,89.60000000000001,79.4,63.4,32.800000000000004,16.400000000000002,8.799999999999999,0.8999999999999999,86.5,66.10000000000001,51.7,41.0,37.9,36.4,35.5,34.2,33.0,31.6,9.4,86.8,60.9,32.4,10.2,3.5000000000000004,1.2,0.1
"(2, 0, 0, 0, 2, 2)",90.67,88.8,51.6,15.6,1.2,0.1,0.0,0.0,92.30000000000001,82.69999999999999,66.2,35.8,17.5,8.3,0.7000000000000001,89.4,72.6,61.4,53.0,48.8,46.2,43.6,41.5,39.5,37.3,10.0,89.7,64.60000000000001,37.0,11.700000000000001,3.8,1.2,0.0
"(0, 4, 3, 0, 0, 3)",87.0,84.2,45.800000000000004,10.4,0.1,0.0,0.0,0.0,87.7,76.4,59.099999999999994,26.0,9.0,3.0,0.2,84.6,58.699999999999996,36.6,19.400000000000002,14.099999999999998,11.5,10.100000000000001,9.3,9.0,8.799999999999999,10.7,85.1,55.00000000000001,22.400000000000002,2.1,0.2,0.0,0.0
"(0, 3, 0, 3, 1, 2)",89.5,87.6,47.4,10.7,0.4,0.0,0.0,0.0,91.0,80.4,62.6,30.0,12.6,5.4,0.4,88.2,66.3,49.6,36.7,31.7,29.299999999999997,28.000000000000004,26.8,25.2,23.7,6.2,88.5,59.199999999999996,27.3,4.6,1.0,0.2,0.0
"(1, 3, 4, 1, 1, 3)",85.39,84.8,56.99999999999999,20.7,0.8999999999999999,0.0,0.0,0.0,87.6,78.2,63.3,32.800000000000004,13.900000000000002,5.6000000000000005,0.4,85.2,66.3,46.400000000000006,28.799999999999997,22.2,19.2,17.4,16.1,15.2,14.799999999999999,7.199999999999999,85.5,64.60000000000001,35.199999999999996,7.1,1.0,0.1,0.0
"(3, 4, 0, 1, 4, 3)",86.76,85.6,54.800000000000004,17.4,0.3,0.0,0.0,0.0,88.2,78.10000000000001,62.0,29.4,10.7,3.5000000000000004,0.2,85.7,63.1,40.300000000000004,20.200000000000003,13.100000000000001,10.4,9.3,9.0,9.0,9.0,10.0,86.1,62.2,30.9,3.8,0.3,0.0,0.0
"(2, 2, 2, 4, 4, 2)",89.26,88.2,54.0,21.0,3.9,1.0999999999999999,0.4,0.0,91.7,81.69999999999999,67.0,37.8,20.200000000000003,11.200000000000001,1.7000000000000002,88.7,72.1,63.3,57.699999999999996,55.300000000000004,53.800000000000004,52.5,51.2,49.6,47.4,10.100000000000001,89.1,65.5,43.6,22.0,12.0,7.199999999999999,1.5
"(2, 4, 2, 2, 2, 2)",89.53,89.4,60.199999999999996,25.2,3.0,0.2,0.0,0.0,92.10000000000001,83.6,69.69999999999999,41.199999999999996,22.2,11.3,1.0999999999999999,89.7,74.0,65.60000000000001,59.3,56.10000000000001,54.0,52.0,49.8,47.199999999999996,44.4,10.299999999999999,89.9,69.39999999999999,49.0,22.2,9.6,4.1000000000000005,0.2
"(3, 1, 4, 1, 2, 2)",87.4,85.5,46.5,11.700000000000001,0.5,0.0,0.0,0.0,89.0,78.0,60.6,30.099999999999998,13.5,6.3,0.5,85.9,63.2,47.4,36.1,32.4,30.599999999999998,28.9,27.400000000000002,25.7,23.9,10.0,86.4,57.49999999999999,27.400000000000002,5.6000000000000005,1.3,0.2,0.0
"(1, 2, 2, 4, 1, 4)",87.73,86.2,49.8,14.099999999999998,1.0,0.1,0.0,0.0,89.4,79.0,61.9,30.0,13.200000000000001,5.800000000000001,0.3,86.6,65.8,51.6,41.199999999999996,37.4,35.4,34.0,32.7,31.2,29.799999999999997,9.9,87.0,60.4,32.6,10.299999999999999,4.0,1.4000000000000001,0.1
"(1, 2, 4, 1, 4, 3)",88.76,86.7,50.0,13.8,1.3,0.2,0.0,0.0,90.5,80.0,64.4,34.4,17.1,9.1,1.2,87.1,66.2,51.2,39.4,35.4,33.6,32.6,30.8,28.599999999999998,26.6,9.2,87.6,60.6,31.2,8.0,3.1,1.3,0.0
"(1, 3, 3, 0, 2, 3)",85.96,82.69999999999999,43.8,8.9,0.1,0.0,0.0,0.0,86.6,75.0,56.8,25.0,8.4,2.4,0.2,83.1,57.3,35.699999999999996,18.4,12.6,10.4,9.2,8.4,7.9,7.199999999999999,9.9,83.6,53.5,21.0,1.5,0.1,0.0,0.0
"(2, 1, 0, 3, 3, 4)",90.4,88.3,50.6,13.4,0.6,0.0,0.0,0.0,91.0,81.3,64.0,31.7,14.899999999999999,6.800000000000001,0.4,88.7,69.5,55.900000000000006,45.2,40.400000000000006,37.9,36.199999999999996,34.599999999999994,33.1,31.5,9.9,89.0,63.1,32.4,7.6,1.7000000000000002,0.2,0.0
"(0, 0, 3, 2, 1, 3)",89.19,86.8,49.4,12.4,0.4,0.0,0.0,0.0,90.10000000000001,79.5,62.6,31.0,13.8,6.2,0.3,87.2,66.8,51.800000000000004,40.5,36.4,34.8,33.4,32.0,30.599999999999998,28.7,10.0,87.6,60.8,30.5,6.9,1.6,0.5,0.0
"(0, 3, 3, 3, 4, 3)",86.67,84.89999999999999,55.400000000000006,19.6,0.8,0.0,0.0,0.0,87.8,77.4,60.5,30.0,12.2,4.5,0.5,85.1,64.4,44.800000000000004,27.200000000000003,21.0,18.5,17.1,16.3,15.9,16.0,9.6,85.6,62.8,33.6,6.3,1.0999999999999999,0.2,0.0
"(1, 0, 3, 1, 4, 3)",85.69,83.5,47.4,10.7,0.0,0.0,0.0,0.0,87.2,75.9,58.5,25.2,8.3,2.5,0.2,83.89999999999999,58.8,35.0,15.8,10.0,7.6,6.6000000000000005,6.0,5.800000000000001,5.7,8.6,84.5,56.699999999999996,22.900000000000002,1.4000000000000001,0.0,0.0,0.0
"(2, 3, 4, 4, 2, 4)",88.43,88.2,56.699999999999996,23.5,4.3999999999999995,0.7000000000000001,0.1,0.0,91.0,82.0,67.4,38.3,21.6,12.5,1.6,88.5,70.89999999999999,59.199999999999996,51.1,48.1,45.800000000000004,43.8,42.3,40.0,38.0,10.0,88.8,66.4,42.0,18.9,8.5,3.9,0.3
"(3, 1, 3, 4, 1, 3)",86.04,83.2,44.2,9.1,0.0,0.0,0.0,0.0,87.3,74.9,55.00000000000001,22.2,6.9,1.9,0.1,83.7,59.199999999999996,39.1,23.0,17.2,14.6,13.0,12.3,11.899999999999999,11.4,9.8,84.39999999999999,54.50000000000001,22.5,1.7999999999999998,0.1,0.0,0.0
"(2, 3, 1, 0, 3, 3)",88.19,86.1,48.0,12.0,0.6,0.0,0.0,0.0,89.8,79.2,61.9,30.3,13.8,6.4,0.6,86.6,66.5,52.2,42.0,38.7,36.8,34.9,33.6,31.8,30.099999999999998,11.3,86.9,60.0,30.599999999999998,7.8,2.3,0.8,0.0
"(1, 1, 3, 0, 4, 2)",85.75,82.3,43.6,9.4,0.1,0.0,0.0,0.0,85.9,73.8,55.300000000000004,23.3,7.6,2.1999999999999997,0.2,82.69999999999999,56.99999999999999,34.4,16.8,11.5,9.1,8.200000000000001,7.5,7.000000000000001,6.6000000000000005,10.0,83.2,53.5,20.7,1.6,0.1,0.0,0.0
"(2, 3, 2, 0, 4, 1)",89.09,86.8,51.5,15.8,1.0999999999999999,0.1,0.0,0.0,90.0,80.2,63.1,32.4,14.499999999999998,6.3,0.3,87.2,67.30000000000001,52.800000000000004,42.4,38.1,35.3,33.6,31.7,29.799999999999997,27.900000000000002,10.0,87.5,61.8,34.0,10.8,3.8,1.4000000000000001,0.0
"(4, 2, 1, 3, 1, 0)",87.85,86.6,50.0,13.4,0.8999999999999999,0.1,0.0,0.0,90.10000000000001,80.0,64.5,31.3,14.099999999999998,6.800000000000001,0.6,87.1,65.9,50.3,38.2,34.0,31.7,30.0,28.1,26.3,24.8,9.2,87.4,60.8,30.7,8.200000000000001,2.8000000000000003,1.0999999999999999,0.0
"(1, 3, 0, 0, 2, 3)",87.43,85.8,51.5,13.100000000000001,0.2,0.0,0.0,0.0,88.9,79.0,63.1,30.0,11.5,3.8,0.3,86.2,63.6,41.3,22.0,15.7,12.9,11.0,9.700000000000001,9.0,8.6,10.0,86.5,60.5,26.5,2.5,0.1,0.0,0.0
"(3, 2, 3, 2, 3, 4)",88.38,87.6,55.7,20.1,2.7,0.7000000000000001,0.2,0.0,90.4,80.60000000000001,66.10000000000001,35.8,18.4,9.5,1.3,87.9,70.1,56.99999999999999,47.599999999999994,43.7,41.3,39.5,37.8,36.3,34.699999999999996,10.0,88.2,65.3,38.6,16.0,7.199999999999999,3.5999999999999996,0.5
"(1, 3, 4, 4, 2, 0)",85.15,83.8,53.5,19.0,0.5,0.0,0.0,0.0,86.9,76.6,61.0,30.9,12.4,4.3,0.4,84.2,62.0,41.4,21.5,15.1,12.4,11.1,10.5,10.2,10.4,10.0,84.7,60.8,31.4,4.8,0.5,0.0,0.0
"(3, 4, 4, 3, 2, 1)",87.25,86.1,50.2,14.000000000000002,0.5,0.0,0.0,0.0,89.5,79.60000000000001,62.2,31.900000000000002,14.399999999999999,5.800000000000001,0.4,86.4,65.3,49.7,37.4,32.6,30.4,28.9,27.500000000000004,25.6,23.9,10.0,86.8,60.0,30.7,6.3,1.3,0.3,0.0
"(0, 1, 0, 2, 2, 4)",88.69,86.2,48.699999999999996,11.799999999999999,0.3,0.0,0.0,0.0,89.8,79.2,61.6,28.9,12.1,5.8999999999999995,0.4,86.6,65.2,47.3,33.900000000000006,29.2,27.0,25.4,24.5,23.599999999999998,22.3,9.8,87.0,59.4,28.299999999999997,5.5,1.0,0.2,0.0
"(3, 2, 3, 1, 4, 0)",88.9,86.7,49.6,12.8,0.6,0.0,0.0,0.0,90.0,79.5,62.0,29.599999999999998,12.6,5.1,0.2,87.2,65.7,49.3,37.5,33.900000000000006,31.4,29.799999999999997,28.7,27.3,26.0,10.100000000000001,87.6,60.4,30.099999999999998,6.7,1.7000000000000002,0.6,0.0
"(2, 3, 3, 1, 1, 0)",85.79,82.3,43.8,9.6,0.1,0.0,0.0,0.0,86.1,74.4,56.49999999999999,25.1,8.5,2.7,0.2,82.69999999999999,56.99999999999999,34.9,17.4,11.799999999999999,9.6,8.3,7.8,7.7,7.3999999999999995,10.5,83.2,53.5,21.2,1.6,0.1,0.0,0.0
"(4, 0, 2, 0, 3, 4)",82.84,80.5,39.5,7.1,0.0,0.0,0.0,0.0,84.39999999999999,73.2,53.900000000000006,21.8,6.6000000000000005,2.1999999999999997,0.4,80.9,50.2,24.6,7.5,4.2,3.5999999999999996,3.5000000000000004,3.8,4.2,4.5,10.100000000000001,81.39999999999999,48.8,16.3,0.7000000000000001,0.0,0.0,0.0
"(4, 2, 4, 4, 4, 4)",73.85,74.7,53.900000000000006,26.3,1.7999999999999998,0.1,0.0,0.0,77.7,69.69999999999999,57.099999999999994,32.9,15.7,6.7,0.8,74.8,56.89999999999999,36.9,13.900000000000002,5.8999999999999995,3.4000000000000004,2.6,2.4,2.1999999999999997,2.1999999999999997,10.0,75.3,57.9,34.9,6.7,0.6,0.0,0.0
"(4, 0, 4, 1, 0, 1)",70.68,71.2,61.1,47.0,22.6,8.200000000000001,2.7,0.0,71.8,63.3,51.800000000000004,31.7,16.3,7.5,0.2,71.3,61.7,49.4,30.2,17.4,9.9,5.7,3.4000000000000004,2.3,1.6,9.4,71.6,62.7,50.8,29.9,14.499999999999998,6.3,0.2
"(3, 1, 4, 4, 2, 3)",87.46,85.8,52.400000000000006,15.6,0.8,0.0,0.0,0.0,89.0,79.0,63.7,34.1,15.9,7.7,0.8,86.1,65.10000000000001,48.8,35.5,30.599999999999998,28.4,27.0,25.8,24.6,23.400000000000002,9.1,86.5,61.3,32.0,6.9,2.0,0.6,0.0
"(3, 3, 2, 2, 1, 3)",88.99,87.8,51.9,15.4,1.0999999999999999,0.1,0.0,0.0,91.2,81.2,64.8,34.5,17.5,8.799999999999999,0.8,88.3,69.89999999999999,57.99999999999999,49.6,46.7,44.6,42.9,41.099999999999994,39.2,36.9,11.0,88.6,63.4,36.8,12.6,4.5,2.0,0.1
"(1, 0, 1, 0, 4, 0)",83.8,81.69999999999999,50.6,15.9,0.3,0.0,0.0,0.0,84.6,74.4,56.99999999999999,26.3,9.4,2.9000000000000004,0.2,81.89999999999999,57.199999999999996,31.7,9.8,3.4000000000000004,1.7000000000000002,1.2,1.0,0.8,0.8999999999999999,9.9,82.39999999999999,57.199999999999996,25.8,2.3,0.1,0.0,0.0
"(0, 3, 2, 2, 0, 3)",90.6,87.3,45.2,9.700000000000001,0.3,0.0,0.0,0.0,91.3,79.5,61.9,30.2,12.9,5.800000000000001,0.5,87.9,66.3,51.6,40.9,36.1,33.4,31.4,29.599999999999998,27.800000000000004,25.7,9.6,88.3,57.99999999999999,26.3,4.6,0.8,0.1,0.0
"(4, 4, 0, 0, 2, 4)",68.15,70.3,54.400000000000006,31.6,6.2,0.7000000000000001,0.0,0.0,72.2,63.6,50.2,25.900000000000002,12.4,6.0,0.7000000000000001,70.39999999999999,56.3,40.400000000000006,21.2,13.5,9.700000000000001,7.9,7.199999999999999,6.4,6.1,10.7,70.8,57.199999999999996,38.800000000000004,12.5,3.0,0.6,0.0
"(1, 3, 1, 0, 0, 0)",85.55,82.19999999999999,44.6,10.100000000000001,0.1,0.0,0.0,0.0,85.9,73.9,55.2,23.200000000000003,7.7,2.4,0.2,82.5,56.99999999999999,34.2,16.400000000000002,10.5,8.200000000000001,7.3999999999999995,6.6000000000000005,6.4,6.3,9.5,83.1,53.900000000000006,22.0,2.0,0.1,0.0,0.0
"(2, 4, 3, 0, 4, 4)",84.83,84.5,57.49999999999999,23.5,2.1,0.2,0.0,0.0,87.0,77.5,63.0,33.300000000000004,15.2,7.000000000000001,0.5,84.6,64.4,44.4,26.3,20.1,17.7,16.400000000000002,16.2,15.9,16.0,10.0,85.0,63.6,35.6,9.2,2.7,0.7000000000000001,0.0
"(3, 2, 4, 3, 2, 2)",89.42,88.8,58.8,21.6,2.9000000000000004,0.6,0.1,0.0,91.4,83.0,69.19999999999999,39.5,20.3,10.8,1.2,89.0,71.7,57.4,45.9,41.099999999999994,38.800000000000004,37.1,35.699999999999996,34.300000000000004,32.800000000000004,10.0,89.5,67.80000000000001,40.2,13.900000000000002,7.000000000000001,3.9,0.4
"(3, 2, 2, 4, 3, 1)",88.73,86.9,48.699999999999996,12.0,0.7000000000000001,0.1,0.0,0.0,90.4,80.2,62.9,31.2,13.700000000000001,6.4,0.5,87.5,66.5,50.8,39.2,34.599999999999994,32.300000000000004,31.3,30.2,28.7,26.8,11.0,87.9,60.099999999999994,30.099999999999998,7.199999999999999,2.4,0.8999999999999999,0.0
"(3, 2, 0, 4, 1, 0)",89.12,85.5,44.3,8.0,0.1,0.0,0.0,0.0,89.5,78.0,59.199999999999996,24.9,9.1,3.1,0.3,86.1,62.3,42.9,28.1,22.900000000000002,20.8,19.5,18.9,18.0,17.299999999999997,10.0,86.6,56.3,22.0,2.5,0.4,0.0,0.0
